#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality, correctness, completeness or quality of the information provided. Liability claims regarding damage caused by the use of any information provided, including any kind of information which is incomplete or incorrect,will therefore be rejected.
#file_info: --- Simulated load profile with synPRO --- sum profile for the simulated household group --- Number of households: 1 ---  --- For more information contact D.Fischer, David.Fischer@ise.fraunhofer.de
#time resolution: 15Min
#col_no;col_name;unit;category;comment
#001;YYYYMMDD;0;time;Date [human readable]
#002;hhmmss;0;time;Time [human readable]
#003;unixtimestamp;s;time;Elapsed seconds from 01-01-1970
#004;P_el;FALSE;FALSE;W;load_el;Sum of synthetic load profile for all electrical demand of the simulated activities
YYYYMMDD;hhmmss;unixtimestamp;P_el
20150101;0;1420066800;479,126
20150101;1500;1420067700;482,342
20150101;3000;1420068600;353,267
20150101;4500;1420069500;339,367
20150101;10000;1420070400;338,108
20150101;11500;1420071300;469,3
20150101;13000;1420072200;425,291
20150101;14500;1420073100;248,816
20150101;20000;1420074000;129,076
20150101;21500;1420074900;129,076
20150101;23000;1420075800;129,076
20150101;24500;1420076700;129,076
20150101;30000;1420077600;128,816
20150101;31500;1420078500;128,816
20150101;33000;1420079400;296,736
20150101;34500;1420080300;128,816
20150101;40000;1420081200;128,589
20150101;41500;1420082100;128,589
20150101;43000;1420083000;229,034
20150101;44500;1420083900;210,588
20150101;50000;1420084800;128,434
20150101;51500;1420085700;128,434
20150101;53000;1420086600;128,434
20150101;54500;1420087500;277,011
20150101;60000;1420088400;128,079
20150101;61500;1420089300;128,079
20150101;63000;1420090200;128,079
20150101;64500;1420091100;287,764
20150101;70000;1420092000;127,876
20150101;71500;1420092900;127,876
20150101;73000;1420093800;127,876
20150101;74500;1420094700;127,876
20150101;80000;1420095600;275,614
20150101;81500;1420096500;127,752
20150101;83000;1420097400;129,027
20150101;84500;1420098300;138,569
20150101;90000;1420099200;292,406
20150101;91500;1420100100;127,501
20150101;93000;1420101000;138,318
20150101;94500;1420101900;138,051
20150101;100000;1420102800;195,044
20150101;101500;1420103700;393,066
20150101;103000;1420104600;266,108
20150101;104500;1420105500;287,433
20150101;110000;1420106400;320,965
20150101;111500;1420107300;449,684
20150101;113000;1420108200;137,64
20150101;114500;1420109100;138,007
20150101;120000;1420110000;2312,28
20150101;121500;1420110900;2306,78
20150101;123000;1420111800;657,334
20150101;124500;1420112700;750,907
20150101;130000;1420113600;527,366
20150101;131500;1420114500;770,683
20150101;133000;1420115400;352,753
20150101;134500;1420116300;470,183
20150101;140000;1420117200;414,48
20150101;141500;1420118100;428,638
20150101;143000;1420119000;444,013
20150101;144500;1420119900;598,35
20150101;150000;1420120800;454,825
20150101;151500;1420121700;458,392
20150101;153000;1420122600;459,669
20150101;154500;1420123500;626,657
20150101;160000;1420124400;469,118
20150101;161500;1420125300;459,193
20150101;163000;1420126200;466,276
20150101;164500;1420127100;468,135
20150101;170000;1420128000;606,1
20150101;171500;1420128900;470,929
20150101;173000;1420129800;469,863
20150101;174500;1420130700;454,396
20150101;180000;1420131600;2546,35
20150101;181500;1420132500;528,135
20150101;183000;1420133400;809,57
20150101;184500;1420134300;3912,18
20150101;190000;1420135200;4081,64
20150101;191500;1420136100;4080,29
20150101;193000;1420137000;734,804
20150101;194500;1420137900;500,746
20150101;200000;1420138800;561,397
20150101;201500;1420139700;657,378
20150101;203000;1420140600;586,996
20150101;204500;1420141500;601,038
20150101;210000;1420142400;929,296
20150101;211500;1420143300;601,576
20150101;213000;1420144200;599,076
20150101;214500;1420145100;885,068
20150101;220000;1420146000;994,864
20150101;221500;1420146900;838,699
20150101;223000;1420147800;822,965
20150101;224500;1420148700;558,824
20150101;230000;1420149600;554,426
20150101;231500;1420150500;724,241
20150101;233000;1420151400;561,31
20150101;234500;1420152300;552,335
20150102;0;1420153200;733,129
20150102;1500;1420154100;558,426
20150102;3000;1420155000;555,385
20150102;4500;1420155900;742,785
20150102;10000;1420156800;518,688
20150102;11500;1420157700;334,563
20150102;13000;1420158600;350,996
20150102;14500;1420159500;506,392
20150102;20000;1420160400;335,338
20150102;21500;1420161300;346,529
20150102;23000;1420162200;126,046
20150102;24500;1420163100;196,326
20150102;30000;1420164000;232,675
20150102;31500;1420164900;126,191
20150102;33000;1420165800;126,191
20150102;34500;1420166700;126,191
20150102;40000;1420167600;274,925
20150102;41500;1420168500;126,191
20150102;43000;1420169400;126,191
20150102;44500;1420170300;126,191
20150102;50000;1420171200;286,787
20150102;51500;1420172100;126,335
20150102;53000;1420173000;126,335
20150102;54500;1420173900;126,335
20150102;60000;1420174800;126,523
20150102;61500;1420175700;274,211
20150102;63000;1420176600;126,523
20150102;64500;1420177500;126,523
20150102;70000;1420178400;126,429
20150102;71500;1420179300;292,136
20150102;73000;1420180200;126,429
20150102;74500;1420181100;126,429
20150102;80000;1420182000;126,569
20150102;81500;1420182900;2196,33
20150102;83000;1420183800;262,599
20150102;84500;1420184700;126,569
20150102;90000;1420185600;126,429
20150102;91500;1420186500;126,429
20150102;93000;1420187400;281,192
20150102;94500;1420188300;126,429
20150102;100000;1420189200;126,335
20150102;101500;1420190100;126,335
20150102;103000;1420191000;126,335
20150102;104500;1420191900;276,236
20150102;110000;1420192800;126,616
20150102;111500;1420193700;126,616
20150102;113000;1420194600;2154,93
20150102;114500;1420195500;312,781
20150102;120000;1420196400;128,916
20150102;121500;1420197300;137,732
20150102;123000;1420198200;136,799
20150102;124500;1420199100;137,632
20150102;130000;1420200000;293,269
20150102;131500;1420200900;137,49
20150102;133000;1420201800;127,023
20150102;134500;1420202700;127,023
20150102;140000;1420203600;291,912
20150102;141500;1420204500;127,373
20150102;143000;1420205400;127,373
20150102;144500;1420206300;127,373
20150102;150000;1420207200;127,958
20150102;151500;1420208100;276,238
20150102;153000;1420209000;129,124
20150102;154500;1420209900;159,124
20150102;160000;1420210800;189,205
20150102;161500;1420211700;380,137
20150102;163000;1420212600;248,039
20150102;164500;1420213500;248,039
20150102;170000;1420214400;248,317
20150102;171500;1420215300;429,08
20150102;173000;1420216200;248,317
20150102;174500;1420217100;390,926
20150102;180000;1420218000;399,137
20150102;181500;1420218900;430,818
20150102;183000;1420219800;464,161
20150102;184500;1420220700;395,654
20150102;190000;1420221600;249,002
20150102;191500;1420222500;399,687
20150102;193000;1420223400;249,002
20150102;194500;1420224300;249,002
20150102;200000;1420225200;504,259
20150102;201500;1420226100;651,001
20150102;203000;1420227000;249,076
20150102;204500;1420227900;259,909
20150102;210000;1420228800;260,042
20150102;211500;1420229700;259,726
20150102;213000;1420230600;397,791
20150102;214500;1420231500;249,076
20150102;220000;1420232400;249,221
20150102;221500;1420233300;411,913
20150102;223000;1420234200;129,605
20150102;224500;1420235100;129,221
20150102;230000;1420236000;304,465
20150102;231500;1420236900;130,711
20150102;233000;1420237800;140,252
20150102;234500;1420238700;129,436
20150103;0;1420239600;420,153
20150103;1500;1420240500;249,506
20150103;3000;1420241400;249,506
20150103;4500;1420242300;249,506
20150103;10000;1420243200;290,284
20150103;11500;1420244100;380,7
20150103;13000;1420245000;249,716
20150103;14500;1420245900;249,716
20150103;20000;1420246800;249,75
20150103;21500;1420247700;398,588
20150103;23000;1420248600;129,75
20150103;24500;1420249500;129,75
20150103;30000;1420250400;129,989
20150103;31500;1420251300;291,077
20150103;33000;1420252200;129,989
20150103;34500;1420253100;129,989
20150103;40000;1420254000;130,089
20150103;41500;1420254900;130,089
20150103;43000;1420255800;277,707
20150103;44500;1420256700;130,089
20150103;50000;1420257600;130,156
20150103;51500;1420258500;130,156
20150103;53000;1420259400;296,89
20150103;54500;1420260300;130,156
20150103;60000;1420261200;130,089
20150103;61500;1420262100;130,089
20150103;63000;1420263000;130,089
20150103;64500;1420263900;277,411
20150103;70000;1420264800;130,156
20150103;71500;1420265700;130,156
20150103;73000;1420266600;130,156
20150103;74500;1420267500;296,38
20150103;80000;1420268400;140,089
20150103;81500;1420269300;250,022
20150103;83000;1420270200;250,022
20150103;84500;1420271100;250,022
