#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality, correctness, completeness or quality of the information provided. Liability claims regarding damage caused by the use of any information provided, including any kind of information which is incomplete or incorrect,will therefore be rejected.
#file_info: --- Simulated load profile with synPRO --- sum profile for the simulated household group --- Number of households: 1 ---  --- For more information contact D.Fischer, David.Fischer@ise.fraunhofer.de
#time resolution: 15Min
#col_no;col_name;unit;category;comment
#001;YYYYMMDD;0;time;Date [human readable]
#002;hhmmss;0;time;Time [human readable]
#003;unixtimestamp;s;time;Elapsed seconds from 01-01-1970
#004;P_el;FALSE;FALSE;W;load_el;Sum of synthetic load profile for all electrical demand of the simulated activities
YYYYMMDD;hhmmss;unixtimestamp;P_el
20150101;0;1420066800;440,659
20150101;1500;1420067700;419,509
20150101;3000;1420068600;960,138
20150101;4500;1420069500;2292,06
20150101;10000;1420070400;449,546
20150101;11500;1420071300;230,201
20150101;13000;1420072200;96,0006
20150101;14500;1420073100;279,241
20150101;20000;1420074000;96,469
20150101;21500;1420074900;96,519
20150101;23000;1420075800;96,3857
20150101;24500;1420076700;245,862
20150101;30000;1420077600;96,3173
20150101;31500;1420078500;96,1339
20150101;33000;1420079400;96,3673
20150101;34500;1420080300;261,384
20150101;40000;1420081200;96,2342
20150101;41500;1420082100;96,3676
20150101;43000;1420083000;96,4009
20150101;44500;1420083900;96,2342
20150101;50000;1420084800;245,152
20150101;51500;1420085700;96,144
20150101;53000;1420086600;96,2606
20150101;54500;1420087500;251,389
20150101;60000;1420088400;96,0026
20150101;61500;1420089300;96,0526
20150101;63000;1420090200;265,519
20150101;64500;1420091100;96,0526
20150101;70000;1420092000;95,7006
20150101;71500;1420092900;95,9506
20150101;73000;1420093800;269,588
20150101;74500;1420094700;182,678
20150101;80000;1420095600;2311,19
20150101;81500;1420096500;2273,18
20150101;83000;1420097400;357,121
20150101;84500;1420098300;167,096
20150101;90000;1420099200;160,531
20150101;91500;1420100100;3780,49
20150101;93000;1420101000;95,4645
20150101;94500;1420101900;254,944
20150101;100000;1420102800;106,288
20150101;101500;1420103700;106,255
20150101;103000;1420104600;106,455
20150101;104500;1420105500;261,761
20150101;110000;1420106400;95,3185
20150101;111500;1420107300;95,4352
20150101;113000;1420108200;95,3185
20150101;114500;1420109100;95,6352
20150101;120000;1420110000;243,355
20150101;121500;1420110900;1302,32
20150101;123000;1420111800;1235,79
20150101;124500;1420112700;336,71
20150101;130000;1420113600;276,819
20150101;131500;1420114500;125,386
20150101;133000;1420115400;135,603
20150101;134500;1420116300;145,603
20150101;140000;1420117200;338,784
20150101;141500;1420118100;165,639
20150101;143000;1420119000;175,339
20150101;144500;1420119900;95,1339
20150101;150000;1420120800;95,053
20150101;151500;1420121700;247,606
20150101;153000;1420122600;95,053
20150101;154500;1420123500;95,153
20150101;160000;1420124400;94,9985
20150101;161500;1420125300;95,2318
20150101;163000;1420126200;244,878
20150101;164500;1420127100;95,4651
20150101;170000;1420128000;95,1377
20150101;171500;1420128900;94,9877
20150101;173000;1420129800;272,246
20150101;174500;1420130700;94,971
20150101;180000;1420131600;95,0925
20150101;181500;1420132500;95,0258
20150101;183000;1420133400;95,3758
20150101;184500;1420134300;247,577
20150101;190000;1420135200;95,2044
20150101;191500;1420136100;95,2044
20150101;193000;1420137000;239,496
20150101;194500;1420137900;393,559
20150101;200000;1420138800;95,1377
20150101;201500;1420139700;233,563
20150101;203000;1420140600;245,788
20150101;204500;1420141500;235,463
20150101;210000;1420142400;648,605
20150101;211500;1420143300;470,498
20150101;213000;1420144200;474,273
20150101;214500;1420145100;449,348
20150101;220000;1420146000;472,914
20150101;221500;1420146900;315,21
20150101;223000;1420147800;312,352
20150101;224500;1420148700;318,127
20150101;230000;1420149600;483,992
20150101;231500;1420150500;308,873
20150101;233000;1420151400;278,39
20150101;234500;1420152300;95,1151
20150102;0;1420153200;277,751
20150102;1500;1420154100;94,9157
20150102;3000;1420155000;94,9157
20150102;4500;1420155900;94,7324
20150102;10000;1420156800;243,849
20150102;11500;1420157700;94,6301
20150102;13000;1420158600;94,3801
20150102;14500;1420159500;94,7468
20150102;20000;1420160400;260,43
20150102;21500;1420161300;94,7468
20150102;23000;1420162200;94,6134
20150102;24500;1420163100;94,7468
20150102;30000;1420164000;94,7818
20150102;31500;1420164900;243,679
20150102;33000;1420165800;94,8318
20150102;34500;1420166700;94,8318
20150102;40000;1420167600;250,876
20150102;41500;1420168500;94,9652
20150102;43000;1420169400;94,9985
20150102;44500;1420170300;265,999
20150102;50000;1420171200;94,9824
20150102;51500;1420172100;94,9157
20150102;53000;1420173000;95,0324
20150102;54500;1420173900;258,74
20150102;60000;1420174800;95,0925
20150102;61500;1420175700;95,1425
20150102;63000;1420176600;94,8925
20150102;64500;1420177500;277,982
20150102;70000;1420178400;94,8544
20150102;71500;1420179300;95,1044
20150102;73000;1420180200;364,838
20150102;74500;1420181100;329,629
20150102;80000;1420182000;243,834
20150102;81500;1420182900;95,1363
20150102;83000;1420183800;95,053
20150102;84500;1420184700;95,053
20150102;90000;1420185600;251,312
20150102;91500;1420186500;94,8377
20150102;93000;1420187400;94,8377
20150102;94500;1420188300;94,8544
20150102;100000;1420189200;94,9157
20150102;101500;1420190100;242,966
20150102;103000;1420191000;94,9824
20150102;104500;1420191900;95,0157
20150102;110000;1420192800;95,0801
20150102;111500;1420193700;257,155
20150102;113000;1420194600;95,0801
20150102;114500;1420195500;95,3968
20150102;120000;1420196400;1632,37
20150102;121500;1420197300;1156,6
20150102;123000;1420198200;95,1872
20150102;124500;1420199100;95,2539
20150102;130000;1420200000;95,3185
20150102;131500;1420200900;95,1019
20150102;133000;1420201800;248,016
20150102;134500;1420202700;95,3185
20150102;140000;1420203600;95,4729
20150102;141500;1420204500;95,6396
20150102;143000;1420205400;95,3396
20150102;144500;1420206300;245,25
20150102;150000;1420207200;95,865
20150102;151500;1420208100;95,965
20150102;153000;1420209000;95,865
20150102;154500;1420209900;274,759
20150102;160000;1420210800;2270,49
20150102;161500;1420211700;2368,25
20150102;163000;1420212600;96,0124
20150102;164500;1420213500;96,3791
20150102;170000;1420214400;248,818
20150102;171500;1420215300;96,0921
20150102;173000;1420216200;96,4087
20150102;174500;1420217100;216,075
20150102;180000;1420218000;376,702
20150102;181500;1420218900;227,529
20150102;183000;1420219800;96,6953
20150102;184500;1420220700;238,012
20150102;190000;1420221600;96,7094
20150102;191500;1420222500;245,668
20150102;193000;1420223400;107,109
20150102;194500;1420224300;107,559
20150102;200000;1420225200;106,686
20150102;201500;1420226100;264,352
20150102;203000;1420227000;242,911
20150102;204500;1420227900;236,236
20150102;210000;1420228800;251,036
20150102;211500;1420229700;551,542
20150102;213000;1420230600;353,902
20150102;214500;1420231500;371,511
20150102;220000;1420232400;372,487
20150102;221500;1420233300;409,18
20150102;223000;1420234200;226,604
20150102;224500;1420235100;227,437
20150102;230000;1420236000;228,213
20150102;231500;1420236900;376,934
20150102;233000;1420237800;235,288
20150102;234500;1420238700;96,8464
20150103;0;1420239600;96,8543
20150103;1500;1420240500;263,238
20150103;3000;1420241400;96,771
20150103;4500;1420242300;96,5877
20150103;10000;1420243200;96,46
20150103;11500;1420244100;96,7767
20150103;13000;1420245000;245,747
20150103;14500;1420245900;96,8934
20150103;20000;1420246800;96,8635
20150103;21500;1420247700;254,111
20150103;23000;1420248600;96,7802
20150103;24500;1420249500;96,9135
20150103;30000;1420250400;269,725
20150103;31500;1420251300;96,8197
20150103;33000;1420252200;97,053
20150103;34500;1420253100;97,053
20150103;40000;1420254000;261,744
20150103;41500;1420254900;217,245
20150103;43000;1420255800;217,279
20150103;44500;1420256700;217,112
20150103;50000;1420257600;399,358
20150103;51500;1420258500;197,151
20150103;53000;1420259400;97,2675
20150103;54500;1420260300;97,2341
20150103;60000;1420261200;97,1785
20150103;61500;1420262100;245,942
20150103;63000;1420263000;96,9785
20150103;64500;1420263900;97,2285
20150103;70000;1420264800;397,034
20150103;71500;1420265700;254,403
20150103;73000;1420266600;97,1508
20150103;74500;1420267500;97,2341
20150103;80000;1420268400;97,1393
20150103;81500;1420269300;97,156
